index,sum,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
101AAESY,653,0.0,0.0,10.0,45.0,109.0,89.0,118.0,81.0,68.0,43.0,43.0,17.0,8.0,7.0,8.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
102ABELJ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103ACDLJ,557,0.0,0.0,1.0,52.0,225.0,129.0,57.0,23.0,18.0,26.0,18.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104ADDYJ,736,0.0,0.0,1.0,72.0,368.0,165.0,62.0,39.0,19.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105AEBBA,504,0.0,0.0,11.0,38.0,85.0,54.0,112.0,78.0,46.0,31.0,27.0,6.0,7.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
106AFCSA,453,0.0,0.0,5.0,38.0,90.0,87.0,91.0,70.0,36.0,14.0,12.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107AGELJ,614,0.0,1.0,36.0,167.0,192.0,66.0,70.0,30.0,21.0,14.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108BABLJ,128,0.0,0.0,4.0,17.0,22.0,14.0,21.0,15.0,9.0,5.0,6.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109BADYJ,429,0.0,0.0,6.0,40.0,111.0,79.0,56.0,40.0,29.0,27.0,25.0,5.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110BBEBA,576,0.0,0.0,84.0,202.0,140.0,44.0,53.0,28.0,7.0,7.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113BFDBA,409,0.0,0.0,37.0,109.0,89.0,53.0,71.0,25.0,10.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114BGAYJ,285,0.0,1.0,35.0,94.0,80.0,27.0,18.0,17.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117CCBBA,520,0.0,0.0,55.0,156.0,176.0,34.0,38.0,13.0,20.0,17.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118CDESA,915,0.0,0.0,2.0,15.0,159.0,321.0,190.0,86.0,55.0,47.0,16.0,17.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119CEASY,871,0.0,8.0,21.0,61.0,67.0,119.0,114.0,163.0,115.0,84.0,33.0,53.0,11.0,15.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120CFAYJ,714,0.0,0.0,3.0,10.0,131.0,206.0,154.0,93.0,55.0,32.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121CFCSY,779,0.0,0.0,1.0,21.0,116.0,168.0,142.0,106.0,94.0,60.0,33.0,20.0,12.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
